material,site,direction,bond_length_A,fft_spacing_A,r_peak_A,h_peak,M
4AMPy,3,2,3.16773744629108,0.114263703703704,0.901094342653427,0.47326400473617,0.426455517249268
4AMPy,3,3,3.17121050496126,0.114263703703704,0.901218595306745,0.476001631304773,0.428981521528207
4AMPy,3,4,3.17625253866401,0.114263703703704,0.902482411827304,0.476180565851265,0.42974458553474
4AMPy,3,5,3.20998411621263,0.114263703703704,0.902985215222454,0.477455213225637,0.431134998473635
4AMPy,3,6,3.36009348451587,0.114263703703704,0.914375661038469,0.511408924431292,0.467619873337835
4AMPy,4,1,3.01007987874388,0.114263703703704,0.89156222730458,0.456423841521159,0.406930256741517
4AMPy,4,2,3.17346653124458,0.114263703703704,0.901761112993109,0.476480796682246,0.429671853536025
4AMPy,4,3,3.17436310861919,0.114263703703704,0.902351911979274,0.475706376861024,0.429254558701278
4AMPy,4,4,3.17799390399227,0.114263703703704,0.902430635625059,0.474974209223923,0.428631277535455
4AMPy,4,5,3.19608345357078,0.114263703703704,0.902261019225324,0.475732843431076,0.429235200193084
4AMPy,4,6,3.37066297996704,0.114263703703704,0.91558691913433,0.512857099954027,0.469565252103075
DGA,1,1,3.07932351275651,0.119412124871078,0.895563933539876,0.454247132611413,0.406807348880687
DGA,1,2,3.10574724291892,0.119412124871078,0.895669967700957,0.453477310646364,0.406166008179745
DGA,1,3,3.13449661456113,0.119412124871078,0.896685924753828,0.469889721165886,0.421343499155951
DGA,1,4,3.13840808803162,0.119412124871078,0.89678113257113,0.47158554260713,0.422909017003393
DGA,1,5,3.39633448094106,0.119412124871078,0.920681588934229,0.505284501472598,0.465206137679631
DGA,1,6,3.39989806537854,0.119412124871078,0.918936101256724,0.500677505341424,0.460090634745391
DGA,2,1,3.07930434659057,0.119412124871078,0.89555946967879,0.454247121996279,0.406805311678104
DGA,2,2,3.10579824195626,0.119412124871078,0.895668970857525,0.453478827779694,0.406166914983116
DGA,2,3,3.13446241068062,0.119412124871078,0.896679984516304,0.469895007711869,0.421345448239367
DGA,2,4,3.13839925441347,0.119412124871078,0.896789192437803,0.471587382335494,0.422914467768505
DGA,2,5,3.39643119381959,0.119412124871078,0.920702199412284,0.505293157394494,0.465224521361088
DGA,2,6,3.40019072449566,0.119412124871078,0.918954961178491,0.50068363231655,0.460105707898161
DGA,3,1,3.07927242162992,0.119412124871078,0.895555888658152,0.454248183502513,0.406804635647944
DGA,3,2,3.10587686850598,0.119412124871078,0.895678655509565,0.453492209640833,0.406183292615163
DGA,3,3,3.13442928484629,0.119412124871078,0.896682857244391,0.46989111230584,0.421343305176145
DGA,3,4,3.1384093942375,0.119412124871078,0.896779051249411,0.471591467837745,0.422913349104851
DGA,3,5,3.39637914469307,0.119412124871078,0.920689278679184,0.505286018206219,0.46521141962896
DGA,3,6,3.39980565818981,0.119412124871078,0.918926371101594,0.500645991490759,0.460056804167163
DGA,4,1,3.07930936736042,0.119412124871078,0.895551549929184,0.454247303438894,0.406801876645853
DGA,4,2,3.10599318938529,0.119412124871078,0.895686456617391,0.453497017083804,0.406191136318349
DGA,4,3,3.1344345104589,0.119412124871078,0.896672306735938,0.469888482071777,0.421335989127948
DGA,4,4,3.1384378195678,0.119412124871078,0.896794063036134,0.471595401271521,0.422923956015443
DGA,4,5,3.3963422560421,0.119412124871078,0.920691570609293,0.50528509186616,0.465211724835716
DGA,4,6,3.3999534360609,0.119412124871078,0.918928238616309,0.500646078166973,0.460057818780139
DGA,5,1,3.04654274421566,0.119412124871078,0.893299520345945,0.444241272023963,0.396840515216878
DGA,5,2,3.08039087109478,0.119412124871078,0.894599529985608,0.454006927763565,0.406154384187495
DGA,5,3,3.14281665387085,0.119412124871078,0.896429350141409,0.467784185530466,0.419335473441504
DGA,5,4,3.17606249136552,0.119412124871078,0.899377181157746,0.474530034540358,0.426781484839595
DGA,5,5,3.32025390072609,0.119412124871078,0.91439186591376,0.498584765645795,0.455901854175033
DGA,5,6,3.4577857729449,0.119412124871078,0.926011811803505,0.517354610558685,0.479076480268345
DGA,6,1,3.04649234133528,0.119412124871078,0.893302294277571,0.444242202349222,0.396842578573481
DGA,6,2,3.0803507394854,0.119412124871078,0.894587816172381,0.454005916755602,0.406148161599733
DGA,6,3,3.14281961993209,0.119412124871078,0.896414131018454,0.467783749863822,0.419327963638732
DGA,6,4,3.17604672816482,0.119412124871078,0.899387836311937,0.474525485484259,0.426782449664559
DGA,6,5,3.32023518293994,0.119412124871078,0.91439955133513,0.498595412954467,0.455915421903319
DGA,6,6,3.45778571510328,0.119412124871078,0.926017411704317,0.517356469034153,0.479081098383491
DGA,7,1,3.04649073860977,0.119412124871078,0.89330210308447,0.444240712820511,0.396841163038307
DGA,7,2,3.0803923035478,0.119412124871078,0.894593691130883,0.454000576720667,0.406146051704091
DGA,7,3,3.14285551841536,0.119412124871078,0.896427723184817,0.467786066583622,0.419336398605138
DGA,7,4,3.17604065380362,0.119412124871078,0.899375696485084,0.474522014674506,0.426773567445389
DGA,7,5,3.32027165185839,0.119412124871078,0.914402422660246,0.498588112590855,0.455910178062677
DGA,7,6,3.4577863244854,0.119412124871078,0.926017495202794,0.517364987419015,0.479089029755381
DGA,8,1,3.04650591490927,0.119412124871078,0.89330576773559,0.444242555771808,0.396844437344555
DGA,8,2,3.08040937920067,0.119412124871078,0.89460138286424,0.454009330522019,0.406157374918266
DGA,8,3,3.14283567429502,0.119412124871078,0.896426821453077,0.467785014408889,0.419335033589942
DGA,8,4,3.17604127274745,0.119412124871078,0.899379847446963,0.474527882661905,0.426780814717795
DGA,8,5,3.32025058078111,0.119412124871078,0.914384762320183,0.498584266199517,0.455897855745429
DGA,8,6,3.45782605111001,0.119412124871078,0.926014976566901,0.517366286712691,0.479088929866757
2AEPy,1,1,3.07684874067067,0.117075795151491,0.895845026273543,0.452920409445837,0.40574649609983
2AEPy,1,2,3.09921363060732,0.117075795151491,0.896521833320471,0.464955096631219,0.416842395643517
2AEPy,1,3,3.12248067657665,0.117075795151491,0.895189536371833,0.46682681578315,0.417898480786857
2AEPy,1,4,3.20582036554089,0.117075795151491,0.900827395241489,0.482166991663182,0.434349235171369
2AEPy,1,5,3.23957490218212,0.117075795151491,0.908102986382293,0.489551997926545,0.444563631306514
2AEPy,1,6,3.31353979193623,0.117075795151491,0.914417518763141,0.500788459202426,0.457929740289099
2AEPy,2,1,3.07684874067067,0.117075795151491,0.895845026273544,0.452920409445837,0.40574649609983
2AEPy,2,2,3.09921363060732,0.117075795151491,0.896521796459331,0.464955095649427,0.416842377624545
2AEPy,2,3,3.12248067657665,0.117075795151491,0.895189536371833,0.46682681578315,0.417898480786857
2AEPy,2,4,3.20582036554089,0.117075795151491,0.90082739524149,0.482166991663182,0.434349235171369
2AEPy,2,5,3.23957490218212,0.117075795151491,0.908102986382294,0.489551997926545,0.444563631306514
