candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|h|within=cv|across=range,A,sn_i_bond,h,identity,h,cv,range,1,identity,56dd9c70be4b,True,f002011,True,4.78515710171936,True
sn_i_bond|h|within=cv|across=site_cv,A,sn_i_bond,h,identity,h,cv,site_cv,1,identity,9fee38319daa,True,f002012,True,2.09007379583157,True
sn_i_bond|h|within=normalized_range|across=mean,A,sn_i_bond,h,identity,h,normalized_range,mean,1,identity,c2994dab7bff,True,f002013,True,2.29151912337742,True
sn_i_bond|h|within=normalized_range|across=median,A,sn_i_bond,h,identity,h,normalized_range,median,1,identity,657e9dbe70a3,True,f002014,True,2.29121931906353,True
sn_i_bond|h|within=normalized_range|across=max,A,sn_i_bond,h,identity,h,normalized_range,max,1,identity,77b67db9d4ab,True,f002015,True,2.06874779963244,True
sn_i_bond|h|within=normalized_range|across=range,A,sn_i_bond,h,identity,h,normalized_range,range,1,identity,8b339403581e,True,f002016,True,3.02520276323994,True
sn_i_bond|h|within=normalized_range|across=site_cv,A,sn_i_bond,h,identity,h,normalized_range,site_cv,1,identity,6c7b32772d84,True,f002017,True,1.51833690029455,True
sn_i_bond|h|within=mad|across=mean,A,sn_i_bond,h,identity,h,mad,mean,1,identity,81a301427e03,True,f002018,True,3.71849776750541,True
sn_i_bond|h|within=mad|across=median,A,sn_i_bond,h,identity,h,mad,median,1,identity,0a63a17a2c2a,True,f002019,True,3.72067444074499,True
sn_i_bond|h|within=mad|across=max,A,sn_i_bond,h,identity,h,mad,max,1,identity,1f2e1815c21d,True,f002020,True,2.16226811130965,True
sn_i_bond|h|within=iqr|across=mean,A,sn_i_bond,h,identity,h,iqr,mean,1,identity,23d9c4e8ebbc,True,f002023,True,2.74747448086143,True
sn_i_bond|h|within=iqr|across=median,A,sn_i_bond,h,identity,h,iqr,median,1,identity,c357f6d011cd,True,f002024,True,2.7477834348167,True
sn_i_bond|h|within=iqr|across=max,A,sn_i_bond,h,identity,h,iqr,max,1,identity,57ac04b90655,True,f002025,True,2.48788575893633,True
sn_i_bond|h|within=iqr|across=site_cv,A,sn_i_bond,h,identity,h,iqr,site_cv,1,identity,9672d4479426,True,f002027,True,3.47561996374404,True
sn_i_bond|h|within=max|across=mean,A,sn_i_bond,h,identity,h,max,mean,1,identity,97c5dd9c28bf,True,f002033,True,0.7389575830896,True
sn_i_bond|h|within=max|across=median,A,sn_i_bond,h,identity,h,max,median,1,identity,5cce0e11b0fb,True,f002034,True,0.736127049785671,True
sn_i_bond|h|within=max|across=max,A,sn_i_bond,h,identity,h,max,max,1,identity,8b40b0b641e7,True,f002035,True,0.91412764515959,True
sn_i_bond|h|within=max|across=range,A,sn_i_bond,h,identity,h,max,range,1,identity,ec82b4c114ec,True,f002036,True,3.51155818156657,True
sn_i_bond|h|within=max|across=site_cv,A,sn_i_bond,h,identity,h,max,site_cv,1,identity,68617757a27b,True,f002037,True,3.55718076885637,True
sn_i_bond|h|within=top2_deviation|across=mean,A,sn_i_bond,h,identity,h,top2_deviation,mean,1,identity,63a193bcf773,True,f002038,True,2.24439254068687,True
sn_i_bond|h|within=top2_deviation|across=median,A,sn_i_bond,h,identity,h,top2_deviation,median,1,identity,0023db2a57d6,True,f002039,True,2.24410102228188,True
sn_i_bond|h|within=top2_deviation|across=max,A,sn_i_bond,h,identity,h,top2_deviation,max,1,identity,f15876f5681f,True,f002040,True,2.02666080997803,True
sn_i_bond|h|within=top2_deviation|across=range,A,sn_i_bond,h,identity,h,top2_deviation,range,1,identity,655e9f17c610,True,f002041,True,1.7975295771295,True
sn_i_bond|h|within=top2_deviation|across=site_cv,A,sn_i_bond,h,identity,h,top2_deviation,site_cv,1,identity,7424abc182f7,True,f002042,True,0.806647574966828,True
sn_i_bond|inv(h)|within=sd|across=mean,A,sn_i_bond,inv(h),inv,h,sd,mean,1,identity,1f05815fba01,True,f002048,True,1.11832601189564,True
sn_i_bond|inv(h)|within=sd|across=median,A,sn_i_bond,inv(h),inv,h,sd,median,1,identity,f5870b8e27aa,True,f002049,True,1.11834941226117,True
sn_i_bond|inv(h)|within=sd|across=max,A,sn_i_bond,inv(h),inv,h,sd,max,1,identity,2c069ae295fb,True,f002050,True,1.72216870416408,True
sn_i_bond|inv(h)|within=sd|across=range,A,sn_i_bond,inv(h),inv,h,sd,range,1,identity,3a014b64a24b,True,f002051,True,4.9104335925823,True
sn_i_bond|inv(h)|within=sd|across=site_cv,A,sn_i_bond,inv(h),inv,h,sd,site_cv,1,identity,95287092446b,True,f002052,True,2.13236087918394,True
sn_i_bond|inv(h)|within=cv|across=mean,A,sn_i_bond,inv(h),inv,h,cv,mean,1,identity,616fca927b8f,True,f002053,True,1.03713021194363,True
sn_i_bond|inv(h)|within=cv|across=median,A,sn_i_bond,inv(h),inv,h,cv,median,1,identity,c3b72b132307,True,f002054,True,1.03715296986345,True
sn_i_bond|inv(h)|within=cv|across=max,A,sn_i_bond,inv(h),inv,h,cv,max,1,identity,50835c597103,True,f002055,True,1.54955086424551,True
sn_i_bond|inv(h)|within=cv|across=range,A,sn_i_bond,inv(h),inv,h,cv,range,1,identity,11259b8cd88d,True,f002056,True,4.72991659735789,True
sn_i_bond|inv(h)|within=cv|across=site_cv,A,sn_i_bond,inv(h),inv,h,cv,site_cv,1,identity,ab82e03dcbab,True,f002057,True,2.08532436597957,True
sn_i_bond|inv(h)|within=normalized_range|across=mean,A,sn_i_bond,inv(h),inv,h,normalized_range,mean,1,identity,6acaceccb870,True,f002058,True,2.46968418304245,True
sn_i_bond|inv(h)|within=normalized_range|across=median,A,sn_i_bond,inv(h),inv,h,normalized_range,median,1,identity,a0cc6d5e4626,True,f002059,True,2.46935731854356,True
sn_i_bond|inv(h)|within=normalized_range|across=max,A,sn_i_bond,inv(h),inv,h,normalized_range,max,1,identity,ec74e37fa923,True,f002060,True,2.24630008600262,True
sn_i_bond|inv(h)|within=normalized_range|across=range,A,sn_i_bond,inv(h),inv,h,normalized_range,range,1,identity,bbde507acfd5,True,f002061,True,2.72135243750099,True
sn_i_bond|inv(h)|within=normalized_range|across=site_cv,A,sn_i_bond,inv(h),inv,h,normalized_range,site_cv,1,identity,40cc74932f0e,True,f002062,True,1.41117840806642,True
sn_i_bond|inv(h)|within=mad|across=mean,A,sn_i_bond,inv(h),inv,h,mad,mean,1,identity,1e7c01c067e7,True,f002063,True,2.79755112827512,True
sn_i_bond|inv(h)|within=mad|across=median,A,sn_i_bond,inv(h),inv,h,mad,median,1,identity,46bc947a5400,True,f002064,True,2.80032186020121,True
sn_i_bond|inv(h)|within=mad|across=max,A,sn_i_bond,inv(h),inv,h,mad,max,1,identity,9d0ab3b1ac4d,True,f002065,True,2.30433391896157,True
sn_i_bond|inv(h)|within=iqr|across=mean,A,sn_i_bond,inv(h),inv,h,iqr,mean,1,identity,aaef17b6e0e7,True,f002068,True,2.69817771334216,True
sn_i_bond|inv(h)|within=iqr|across=median,A,sn_i_bond,inv(h),inv,h,iqr,median,1,identity,0e320c427abd,True,f002069,True,2.69790539237382,True
sn_i_bond|inv(h)|within=iqr|across=max,A,sn_i_bond,inv(h),inv,h,iqr,max,1,identity,4aea244a23db,True,f002070,True,2.41131345941323,True
sn_i_bond|inv(h)|within=iqr|across=site_cv,A,sn_i_bond,inv(h),inv,h,iqr,site_cv,1,identity,9674a5840267,True,f002072,True,3.47035344471125,True
sn_i_bond|inv(h)|within=min|across=mean,A,sn_i_bond,inv(h),inv,h,min,mean,1,identity,4bc34bcf590d,True,f002073,True,0.724362440387948,True
sn_i_bond|inv(h)|within=min|across=median,A,sn_i_bond,inv(h),inv,h,min,median,1,identity,06e3cd78e477,True,f002074,True,0.723724781824258,True
sn_i_bond|inv(h)|within=min|across=max,A,sn_i_bond,inv(h),inv,h,min,max,1,identity,0e92f82b1287,True,f002075,True,2.28742619280346,True
